date,title,source,compound,bert_label,bert_score
2025-01-02,Police report reveals value of jewelry stolen from Luka Doncic's home amid nationwide athlete burglaries - CBS News,CBS News,-0.2023,POSITIVE,0.6958995461463928
2025-01-02,Will Luka Doncic play tonight against the Houston Rockets tonight? Latest update on the Dallas Mavericks - The Times of India,The Times of India,0.34,NEGATIVE,-0.8070349097251892
2025-01-02,"Luka Doncic’s Takedown Sneaker, The Jordan Luka .77, Debuts Summer 2025 - Sole Retriever",Sole Retriever,0.0,POSITIVE,0.9559074640274048
2025-01-02,"Cavaliers 134-122 Mavericks (Jan 3, 2025) Game Recap - ESPN",ESPN,0.0,POSITIVE,0.6896268725395203
2025-01-02,"After 100 games, Victor Wembanyama's numbers are simply staggering - NBA.com",NBA.com,0.0,POSITIVE,0.8125330209732056
2025-01-02,Rockets beat the Mavericks 110-99 to snap a 2-game skid - Spectrum News,Spectrum News,0.0,POSITIVE,0.9876519441604614
2025-01-02,"Predicting NBA's next five years: Champions, MVPs, breakout players, trades, expansion, more for 2025-2029 - CBS Sports",CBS Sports,0.5267,POSITIVE,0.949169397354126
2025-01-02,Mavericks' Kyrie Irving out against NBA-leading Cavaliers with illness - Sportsnet.ca,Sportsnet.ca,-0.4019,NEGATIVE,-0.925905168056488
2025-01-02,"LeBron James, Stephen Curry 3rd at positions in NBA All-Star voting - ESPN",ESPN,0.0,POSITIVE,0.9746544361114502
2025-01-02,Athletes are forced to play defense as burglars score big inside their homes - ESPN,ESPN,-0.0258,NEGATIVE,-0.9900736808776855
2025-01-03,"Cavaliers 134-122 Mavericks (Jan 3, 2025) Game Recap - ESPN",ESPN,0.0,POSITIVE,0.6896268725395203
2025-01-03,"After 100 games, Victor Wembanyama's numbers are simply staggering - NBA.com",NBA.com,0.0,POSITIVE,0.8125330209732056
2025-01-03,"'It's our time': Montana State hall of famer, Dallas Mavericks general manager Nico Harrison - MontanaSports.com",MontanaSports.com,0.0,POSITIVE,0.9965353012084961
2025-01-03,Mavericks' Kyrie Irving out against NBA-leading Cavaliers with illness - Sportsnet.ca,Sportsnet.ca,-0.4019,NEGATIVE,-0.925905168056488
2025-01-03,Happy birthday Wemby! | How the Spurs center compares to other NBA greats at age 21 - kens5.com,kens5.com,0.6114,POSITIVE,0.9986124038696289
2025-01-03,Athletes are forced to play defense as burglars score big inside their homes - ESPN,ESPN,-0.0258,NEGATIVE,-0.9900736808776855
2025-01-04,"'It's our time': Montana State hall of famer, Dallas Mavericks general manager Nico Harrison - MontanaSports.com",MontanaSports.com,0.0,POSITIVE,0.9965353012084961
